domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
charts.noaa.gov,54886,131437,41887,2.394727252851365,216.99994534125278,56330
coastalscience.noaa.gov,53442,76552,47664,1.4324314209797537,107.43166423412298,51997
apps.bea.gov,51997,138659,31776,2.666673077292921,217.44548723964843,47664
nauticalcharts.noaa.gov,50553,99661,41887,1.9714161375190393,199.62811306945187,38998
sanctuaries.noaa.gov,49109,92440,40442,1.8823433586511638,152.55731128713677,43331
buoybay.noaa.gov,47664,49109,2889,1.0303163813360188,0.030295401141322592,47664
ngs.noaa.gov,47664,180546,41887,3.7878902316213496,290.36453088284657,47664
glerl.noaa.gov,46220,73663,34665,1.593747295543055,36.96856339247079,44775
srdata.nist.gov,46220,738072,33220,15.968671570748594,363.7170056252705,46220
research.noaa.gov,41887,51997,37554,1.2413636689187577,140.13684436698736,38998
toolkit.climate.gov,41887,79440,37554,1.8965311433141547,240.54986033852987,38998
export.gov,40442,44775,34665,1.1071410909450572,11.92866327085703,40442
pmel.noaa.gov,40442,62108,36109,1.535730181494486,117.32231343652639,40442
hdsc.nws.noaa.gov,38998,80885,30332,2.074080722088312,242.07369608697883,38998
assignment.uspto.gov,37554,56330,36109,1.499973371678117,145.95987111892208,36109
floridakeys.noaa.gov,37554,106883,31776,2.8461149278372475,236.7665228737285,37554
bhs.econ.census.gov,36109,44775,28887,1.2399955689717246,51.60029355562325,36109
shop.nist.gov,36109,210878,24554,5.84003987925448,220.2812318258606,34665
aviationweather-cprk.ncep.noaa.gov,34665,34665,34665,1.0,0.0,34665
search.bea.gov,33220,46220,18777,1.3913305237808549,58.73994581577363,34665
uat.tidesandcurrents.noaa.gov,33220,93884,27443,2.826128838049368,4.78266104756171,33220
cccbdb.nist.gov,27443,186323,15888,6.78945450570273,337.94730896767845,27443
dev.tidesandcurrents.noaa.gov,27443,33220,7222,1.2105090551324564,0.5263272965783624,27443
beaconregistration.noaa.gov,25999,167547,17332,6.444363244740182,693.6566791030424,25999
incidentnews.noaa.gov,25999,27443,24554,1.0555405977152967,0.8333397438363014,25999
ssd.noaa.gov,25999,44775,20221,1.7221816223700912,144.72014308242623,27443
marinedebris.noaa.gov,23110,34665,20221,1.5,19.312418866291647,21666
repository.library.noaa.gov,23110,27443,20221,1.1874945910861099,59.374729554305496,15888
aviationweather-bldr.ncep.noaa.gov,21666,34665,10111,1.5999723068402105,684.9848610726484,21666
sit-tsdr.etc.uspto.gov,21666,21666,21666,1.0,0.0,21666
dlmf.nist.gov,20221,41887,17332,2.071460362988972,249.2876217793383,20221
epas.uspto.gov,20221,296095,18777,14.642945452747144,376.6457148508976,27443
my-pvt.etc.uspto.gov,20221,25999,11555,1.285742544879086,6.0000494535384,20221
tf.nist.gov,20221,23110,18777,1.1428712724395431,72.42910835270264,20221
etas.uspto.gov,18777,283096,12999,15.076742823667253,452.8409756617138,20221
maps.ngdc.noaa.gov,17332,21666,14444,1.2500576967459036,2.3333717978306026,17332
fishwatch.gov,15888,20221,14444,1.272721550855992,14.909113796576031,15888
nist.time.gov,15888,40442,10111,2.545443101711984,173.2732880161128,17332
nowcoast.noaa.gov,15888,23110,14444,1.4545568982880162,177.18233887210474,12999
biometrics.cbp.gov,14444,15888,14444,1.0999723068402105,133.79707837164221,10111
coralreefwatch.noaa.gov,14444,23110,7222,1.5999723068402105,87.59803378565495,12999
helpspanish.cbp.gov,14444,18777,15888,1.2999861534201052,51.19883688728884,14444
ipidentifier.uspto.gov,14444,15888,12999,1.0999723068402105,185.09588756577125,12999
legacy.export.gov,14444,14444,14444,1.0,0.0,14444
coralreef.noaa.gov,12999,37554,11555,2.888991460881606,3.6667435956612047,15888
eog-tmng.uspto.gov,12999,15888,14444,1.2222478652204016,108.33594891914763,11555
gis.ncdc.noaa.gov,12999,15888,11555,1.2222478652204016,89.89106854373414,12999
goes-r.gov,12999,17332,11555,1.3333333333333333,5.889068389876145,12999
math.nist.gov,12999,12999,11555,1.0,0.0,12999
oedci.uspto.gov,12999,25999,10111,2.000076928994538,182.00438495268867,11555
search.commerce.gov,12999,43331,11555,3.333410262327871,178.00430802369414,12999
strbase.nist.gov,12999,23110,8666,1.7778290637741365,78.77967535964305,12999
apps-afsc.fisheries.noaa.gov,11555,14444,12999,1.2500216356555605,0.12496754651665945,11555
data.nist.gov,11555,17332,7222,1.4999567286888793,46.24976200778884,11555
data.noaa.gov,11555,14444,12999,1.2500216356555605,527.997490263955,8666
dcs4.noaa.gov,11555,11555,1444,1.0,0.0,11555
kinetics.nist.gov,11555,57775,10111,5.0,223.3739506707053,11555
ladmf.ntis.gov,11555,86662,2889,7.499956728688879,1709.8668109043704,11555
nwrfc.noaa.gov,11555,11555,5777,1.0,0.0,11555
w2.weather.gov,11555,12999,5777,1.1249675465166595,54.999740372133274,10111
2016.export.gov,10111,36109,8666,3.5712590248244487,101.99574720601325,10111
channelislands.noaa.gov,10111,18777,8666,1.8570863416081496,18.71348036791613,10111
estta.uspto.gov,10111,216655,8666,21.42765305113243,765.1108693502126,15888
lehd.ces.census.gov,10111,17332,10111,1.7141726832162991,28.99881317377114,10111
library.noaa.gov,10111,14444,10111,1.4285431708040748,1.8570863416081496,11555
marinecadastre.gov,10111,18777,8666,1.8570863416081496,210.9911977054693,10111
papahanaumokuakea.gov,10111,36109,10111,3.5712590248244487,82.71081000890119,10111
cldp.doc.gov,8666,8666,7222,1.0,24.16720516962843,8666
esrl.noaa.gov,8666,8666,8666,1.0,0.16662820216939764,8666
legacy.trade.gov,8666,11555,10111,1.3333717978306023,19.167089776136624,8666
ncc.nesdis.noaa.gov,8666,12999,4333,1.5,127.33637202861759,8666
nps.nmfs.noaa.gov,8666,8666,1444,1.0,0.0,8666
spo.nmfs.noaa.gov,8666,8666,7222,1.0,8.500230786983614,7222
stopfakes.gov,8666,12999,8666,1.5,28.66732056312024,8666
cbb.census.gov,7222,11555,4333,1.5999723068402105,105.5976183882581,7222
certifiedcopycenter.uspto.gov,7222,8666,5777,1.199944613680421,1.5999723068402105,5777
chemdata.nist.gov,7222,11555,5777,1.5999723068402105,357.59207975630017,7222
flowergarden.noaa.gov,7222,11555,7222,1.5999723068402105,63.998615342010524,7222
manufacturing.gov,7222,7222,7222,1.0,3.5999723068402103,7222
montereybay.noaa.gov,7222,41887,5777,5.799916920520632,937.579340902797,7222
mrms.nssl.noaa.gov,7222,7222,4333,1.0,0.0,7222
ncnr.nist.gov,7222,8666,4333,1.199944613680421,147.1967599003046,7222
ncp.nist.gov,7222,25999,7222,3.5999723068402103,78.19828302409304,7222
omao.noaa.gov,7222,7222,5777,1.0,10.399750761561894,7222
space.commerce.gov,7222,17332,5777,2.399889227360842,329.1927443921351,7222
blog.marinedebris.noaa.gov,5777,11555,5777,2.0001731002250303,236.51930067509088,5777
blog.response.restoration.noaa.gov,5777,5777,5777,1.0,0.0,5777
cbpcomplaints.cbp.gov,5777,5777,5777,1.0,57.504760256188334,4333
celebrating200years.noaa.gov,5777,7222,5777,1.2501298251687727,80.2565345334949,5777
cms.nids.noaa.gov,5777,27443,1444,4.750389475506318,1539.125843863597,5777
darrp.noaa.gov,5777,5777,5777,1.0,6.500605850787606,4333
flowsmapper.geo.census.gov,5777,11555,4333,2.0001731002250303,91.25740003462005,4333
gulfspillrestoration.noaa.gov,5777,8666,7222,1.5000865501125151,0.0,7222
hawaiihumpbackwhale.noaa.gov,5777,14444,5777,2.5002596503375454,158.01298251687726,7222
iprs.cbp.gov,5777,5777,5777,1.0,0.0,5777
marineprotectedareas.noaa.gov,5777,7222,5777,1.2501298251687727,12.500952051237666,5777
mping.nssl.noaa.gov,5777,8666,2889,1.5000865501125151,21.50181755236282,5777
nctr.pmel.noaa.gov,5777,7222,4333,1.2501298251687727,4.250302925393803,5777
rapidrefresh.noaa.gov,5777,8666,5777,1.5000865501125151,5.0003462004500605,5777
timegov.boulder.nist.gov,5777,7222,5777,1.2501298251687727,0.7500432750562576,5777
tsunami.noaa.gov,5777,8666,5777,1.5000865501125151,63.25514973169465,5777
videos.fisheries.noaa.gov,5777,11555,5777,2.0001731002250303,554.0453522589579,5777
ace.cbp.gov,4333,10111,2889,2.3334871913224093,70.33510270020771,4333
apps-st.fisheries.noaa.gov,4333,8666,2889,2.0,0.0,4333
atlhmscatchshares.fisheries.noaa.gov,4333,4333,4333,1.0,0.0,4333
buyusa.gov,4333,7222,4333,1.6667435956612047,0.0,4333
cams.nssl.noaa.gov,4333,4333,1444,1.0,0.0,4333
data.commerce.gov,4333,27443,5777,6.333487191322409,164.67066697438264,4333
dcs1.noaa.gov,4333,4333,4333,1.0,0.0,4333
dev.wrh.noaa.gov,4333,4333,4333,1.0,0.0,4333
developer.uspto.gov,4333,36109,4333,8.33348719132241,1068.3591045465037,5777
digital.mdl.nws.noaa.gov,4333,7222,2889,1.6667435956612047,191.0046157396723,4333
diver.orr.noaa.gov,4333,20221,4333,4.666743595661205,144.0034618047542,4333
eallegations.cbp.gov,4333,4333,4333,1.0,50.33464112624048,2889
eda.gov,4333,4333,4333,1.0,3.6667435956612047,4333
farallones.noaa.gov,4333,11555,4333,2.6667435956612047,52.667897530579275,4333
foiadocuments.uspto.gov,4333,4333,1444,1.0,385.6759750750058,2889
homeport.northwestscience.fisheries.noaa.gov,4333,8666,1444,2.0,581.0140780060004,4333
patentsgazette.uspto.gov,4333,41887,10111,9.666974382644819,0.0,10111
thunderbay.noaa.gov,4333,4333,4333,1.0,0.0,4333
tsunami.coast.noaa.gov,4333,4333,2889,1.0,4.666743595661205,4333
uat.opendap.co-ops.nos.noaa.gov,4333,5777,4333,1.3332564043387953,0.0,4333
2010-2014.commerce.gov,2889,5777,2889,1.9996538594669435,0.0,4333
americansamoa.noaa.gov,2889,4333,2889,1.4998269297334719,33.49705780546902,2889
apps-pifsc.fisheries.noaa.gov,2889,5777,1444,1.9996538594669435,20.99792315680166,2889
apps.nssl.noaa.gov,2889,4333,2889,1.4998269297334719,544.4503288335064,2889
author-publish.cms.asd.census.gov,2889,1444,1444,0.4998269297334718,0.0,1444
coastalsmartgrowth.noaa.gov,2889,10111,2889,3.4998269297334716,375.9657320872274,2889
coris.noaa.gov,2889,2889,2889,1.0,0.0,2889
dev.opendap.co-ops.nos.noaa.gov,2889,5777,2889,1.9996538594669435,4.499480789200415,2889
fisheriespermits.noaa.gov,2889,7222,2889,2.4998269297334716,480.95604015230185,2889
geonetcastamericas.noaa.gov,2889,5777,2889,1.9996538594669435,0.0,2889
graysreef.noaa.gov,2889,2889,2889,1.0,48.495673243336796,2889
hads.ncep.noaa.gov,2889,2889,2889,1.0,0.0,2889
integratedecosystemassessment.noaa.gov,2889,2889,2889,1.0,6.9993077189338875,2889
iocm.noaa.gov,2889,2889,1444,1.0,0.0,2889
ioos.noaa.gov,2889,5777,1444,1.9996538594669435,346.9681550709588,1444
madis.ncep.noaa.gov,2889,4333,2889,1.4998269297334719,24.497750086535135,2889
nodc.noaa.gov,2889,4333,4333,1.4998269297334719,0.0,2889
ocio.commerce.gov,2889,7222,2889,2.4998269297334716,32.99688473520249,2889
origin-east-01-drupal-climate.woc.noaa.gov,2889,2889,2889,1.0,0.0,2889
photolib.noaa.gov,2889,4333,4333,1.4998269297334719,0.0,4333
pub-data.diver.orr.noaa.gov,2889,4333,1444,1.4998269297334719,141.4870197300104,1444
satepsanone.espc.nesdis.noaa.gov,2889,2889,2889,1.0,0.0,2889
seafoodinspection.nmfs.noaa.gov,2889,2889,2889,1.0,0.0,2889
ssd.wrh.noaa.gov,2889,2889,2889,1.0,0.0,2889
tcc.export.gov,2889,4333,2889,1.4998269297334719,95.99134648667359,2889
teasi.uspto.gov,2889,2889,2889,1.0,473.45690550363446,1444
trec.nist.gov,2889,8666,2889,2.9996538594669437,16.998615437867773,2889
tsapps.nist.gov,2889,15888,2889,5.499480789200415,904.417445482866,2889
uat.cmist.noaa.gov,2889,5777,2889,1.9996538594669435,1.0,2889
water.noaa.gov,2889,10111,4333,3.4998269297334716,43.49601938386985,4333
wrclib.noaa.gov,2889,2889,2889,1.0,0.0,2889
www-search.uspto.gov,2889,5777,2889,1.9996538594669435,18.99826929733472,1444
2014-2018.firstnet.gov,1444,1444,1444,1.0,0.0,1444
author.cms.asd.census.gov,1444,15888,1444,11.002770083102494,514.1308864265928,0
bulkdata.uspto.gov,1444,1444,1444,1.0,0.0,1444
cafe-stage.orr.noaa.gov,1444,4333,1444,3.0006925207756234,0.0,1444
calendar.library.doc.gov,1444,1444,1444,1.0,0.0,1444
cameo.noaa.gov,1444,1444,1444,1.0,0.0,1444
certifiedcopycenter-fqt.etc.uspto.gov,1444,1444,1444,1.0,18.00484764542936,0
cfreds-archive.nist.gov,1444,1444,1444,1.0,2.0006925207756234,1444
chs.coast.noaa.gov,1444,1444,1444,1.0,0.0,1444
ciks.cbt.nist.gov,1444,12999,1444,9.00207756232687,2.0006925207756234,1444
cmist.noaa.gov,1444,4333,1444,3.0006925207756234,2.0006925207756234,1444
co-ops.nos.noaa.gov,1444,1444,1444,1.0,0.0,1444
coastaloceanmodels.noaa.gov,1444,1444,1444,1.0,8.00207756232687,1444
corpscpc.noaa.gov,1444,5777,1444,4.000692520775623,48.01246537396122,1444
csrc.test-e1a.nist.gov,1444,1444,1444,1.0,0.0,1444
data.ci3.census.gov,1444,241209,1444,167.042243767313,2625.668975069252,1444
data.pmel.noaa.gov,1444,2889,1444,2.0006925207756234,3.0006925207756234,1444
data.sandbox1.census.gov,1444,1444,1444,1.0,0.0,1444
dev.ppubs.awslab.uspto.gov,1444,1444,1444,1.0,0.0,1444
dsfa.nmfs.noaa.gov,1444,1444,1444,1.0,0.0,1444
eastcoast.coastwatch.noaa.gov,1444,1444,1444,1.0,0.0,1444
edit.commerce.gov,1444,12999,1444,9.00207756232687,1664.424515235457,1444
emtoolbox.nist.gov,1444,1444,1444,1.0,0.0,1444
ferret.pmel.noaa.gov,1444,1444,1444,1.0,0.0,1444
fosterscholars.noaa.gov,1444,4333,1444,3.0006925207756234,99.02493074792244,1444
fqt-tsdr.etc.uspto.gov,1444,54886,2889,38.00969529085872,157.04016620498615,2889
gams.nist.gov,1444,1444,1444,1.0,0.0,1444
graphical.mdl.nws.noaa.gov,1444,1444,1444,1.0,0.0,1444
hfradar.ndbc.noaa.gov,1444,2889,1444,2.0006925207756234,102.02631578947368,0
icsd.nist.gov,1444,1444,1444,1.0,10.002770083102494,1444
iprr.cbp.gov,1444,1444,1444,1.0,0.0,1444
jarvis.nist.gov,1444,10111,1444,7.002077562326869,7271.853185595568,1444
m.cameochemicals.noaa.gov,1444,1444,1444,1.0,0.0,1444
manati.star.nesdis.noaa.gov,1444,7222,1444,5.001385041551247,48.01246537396122,1444
marinerhiring.noaa.gov,1444,12999,1444,9.00207756232687,479.1218836565097,1444
mgi.gov,1444,4333,1444,3.0006925207756234,492.1253462603878,1444
midatlantic-mdc.diver.orr.noaa.gov,1444,1444,1444,1.0,0.0,1444
monitor.noaa.gov,1444,1444,1444,1.0,0.0,1444
nc-test.weather.gov,1444,1444,1444,1.0,0.0,1444
nehrpsearch.nist.gov,1444,1444,1444,1.0,0.0,1444
noaasis.noaa.gov,1444,1444,1444,1.0,0.0,1444
nws.noaa.gov,1444,1444,1444,1.0,16.00415512465374,1444
olympiccoast.noaa.gov,1444,1444,1444,1.0,0.0,1444
opd-ui.uspto.gov,1444,1444,1444,1.0,0.0,1444
origin-east-www-wpc.woc.noaa.gov,1444,1444,1444,1.0,0.0,1444
patentcenter-dmz-alx1.uspto.gov,1444,1444,1444,1.0,2.0006925207756234,0
preview.weather.gov,1444,1444,1444,1.0,0.0,1444
projects.osd.noaa.gov,1444,2889,1444,2.0006925207756234,3.0006925207756234,1444
pvt-tsdr.etc.uspto.gov,1444,1444,1444,1.0,0.0,1444
rsp.cbp.gov,1444,1444,1444,1.0,0.0,1444
ruc.noaa.gov,1444,1444,1444,1.0,0.0,1444
rucsoundings.noaa.gov,1444,1444,1444,1.0,0.0,1444
sarsat.noaa.gov,1444,1444,1444,1.0,0.0,1444
sdf.ndbc.noaa.gov,1444,2889,1444,2.0006925207756234,0.0,1444
secatchshares.fisheries.noaa.gov,1444,7222,1444,5.001385041551247,125.03185595567867,1444
sibr.nist.gov,1444,2889,1444,2.0006925207756234,1.0,1444
stellwagen.noaa.gov,1444,2889,1444,2.0006925207756234,1794.4570637119114,1444
